"모형ID","모형","개발회차수","개발평균로그차","재사용검증회차수","재사용평균로그차","근사보정구간하한","근사보정구간상한","개별신뢰수준","미사용독립검증여부"
"uniform","균등 기준","262","0","104","0","0","0","0.9954545454545455","false"
"odd_count","홀수 개수","262","-0.003138932512118302","104","0.009292091136133485","-0.03783864167404468","0.05648762510189654","0.9954545454545455","false"
"low_count","22 이하 번호 개수","262","-0.00877924726850484","104","-0.0061972851676447465","-0.02351150897701615","0.01359293447467503","0.9954545454545455","false"
"sum_bin","여섯 번호 합계","262","0.0017922834671085242","104","-0.007920391835430024","-0.022215706472368778","0.004878085366349143","0.9954545454545455","false"
"adjacent_pairs","인접 연속번호 쌍","262","-0.004090809828397221","104","-0.012412731467138309","-0.03689650532947839","0.007271455134354975","0.9954545454545455","false"
"last_digit_distinct","끝자리 종류 개수","262","0.0007057615699244661","104","-0.0030982316421128077","-0.01965105746692014","0.017621879367622006","0.9954545454545455","false"
"prime_count","소수 개수","262","-0.005669413044027708","104","0.00026417181246208475","-0.02601117694037521","0.02431432405704573","0.9954545454545455","false"
"decade_occupancy","번호 구간별 개수","262","-0.11127188923060058","104","-0.020968932581487167","-0.15752628603534455","0.11424257339712707","0.9954545454545455","false"
"span_bin","최댓값−최솟값","262","-0.006713413155094018","104","0.0018558894579125142","-0.018543523922714987","0.02463585665190023","0.9954545454545455","false"
"joint_sum_odd_adjacent","합계 × 홀수 × 연속쌍","262","-0.0653958943494324","104","-0.07797939845928586","-0.1758266676080907","0.011816622512329627","0.9954545454545455","false"
"joint_sum_odd_low","합계 × 홀수 × 저번호","262","-0.05330088081037305","104","-0.038854797399120886","-0.15241206679137947","0.07572410726104858","0.9954545454545455","false"
"type_mixture","균등 + 10개 유형의 확률 혼합","262","-0.0047452029451761565","104","0.010608773300262496","-0.013587498606826608","0.03570743444837944","0.9954545454545455","false"
