"분류ID","분류","유형ID","유형","가능여부","유형조합수Nc","전체관측","전체회차수","전체관측비율","공정유형확률","이론기대관측","관측대이론비율","전체Wilson하한","전체Wilson상한","전체Wilson폭","최근관측","최근회차수","모형유형확률","모형특정1조합확률","공정특정1조합확률","최근Wilson하한","최근Wilson상한","최근Wilson폭","추정대상회차","해석"
"odd_count","홀수 개수","0","0개","true","74613","11","522","0.0210727969348659","0.009160521837776518","4.781792399319342","2.300392631341708","0.011806681288622858","0.037336379584988796","0.025529698296365935","3","156","0.014195645534272874","1.9025699990983976e-7","1.2277380399898834e-7","0.00656140638822535","0.0550087199939044","0.04844731360567905","1242","실험 추정; 미래 우월성 미확인"
"odd_count","홀수 개수","1","1개","true","605682","37","522","0.07088122605363985","0.07436188315371525","38.816903006239365","0.9531929941462018","0.051858998744985216","0.0961731837977708","0.04431418505278558","10","156","0.06923222362813967","1.14304575054467e-7","1.2277380399898834e-7","0.03518858274470879","0.1139683318417555","0.07877974909704671","1242","실험 추정; 미래 우월성 미확인"
"odd_count","홀수 개수","2","2개","true","1850695","113","522","0.2164750957854406","0.22721686519190773","118.60720363017583","0.9527245946404788","0.18328478136834747","0.25380791066883057","0.07052312930048307","37","156","0.23219817618569744","1.254653933715158e-7","1.2277380399898834e-7","0.17725337497525034","0.3097382941136472","0.1324849191383968","1242","실험 추정; 미래 우월성 미확인"
"odd_count","홀수 개수","3","3개","true","2727340","163","522","0.31226053639846746","0.33484590659860086","174.78956324446966","0.9325499587868404","0.2739995460356255","0.3532645338268303","0.0792649877912048","39","156","0.2924229532993004","1.0721910480515828e-7","1.2277380399898834e-7","0.1886118419574106","0.3234046237612968","0.1347927818038862","1242","실험 추정; 미래 우월성 미확인"
"odd_count","홀수 개수","4","4개","true","2045505","146","522","0.2796934865900383","0.25113442994895063","131.09217243335223","1.1137201961789667","0.24290545650763837","0.319700351494223","0.07679489498658461","52","156","0.29223388164114195","1.4286637365400815e-7","1.2277380399898834e-7","0.26414937342324535","0.4105282703892262","0.1463788969659808","1242","실험 추정; 미래 우월성 미확인"
"odd_count","홀수 개수","5","5개","true","740278","47","522","0.09003831417624521","0.09088674607676309","47.44288145207033","0.9906649546040377","0.06838555983903873","0.11768090026877283","0.049295340429734096","14","156","0.09031516791017641","1.220016911351903e-7","1.2277380399898834e-7","0.05421101444877175","0.1449954933973123","0.09078447894854054","1242","실험 추정; 미래 우월성 미확인"
"odd_count","홀수 개수","6","6개","true","100947","5","522","0.009578544061302681","0.012393647192285877","6.469483834373228","0.7728591844428662","0.00409812540244997","0.02222436893212836","0.018126243529678388","1","156","0.009401951801271144","9.313750583247786e-8","1.2277380399898834e-7","0.0011324653171247909","0.035412864435195084","0.03428039911807029","1242","실험 추정; 미래 우월성 미확인"
"low_count","22 이하 번호 개수","0","0개","true","100947","9","522","0.017241379310344827","0.012393647192285877","6.469483834373228","1.3911465319971592","0.00909674645631465","0.032439458904285894","0.02334271244797124","5","156","0.022222464621783965","2.2013992116441266e-7","1.2277380399898834e-7","0.013766559825891925","0.07282836318604768","0.059061803360155755","1242","실험 추정; 미래 우월성 미확인"
"low_count","22 이하 번호 개수","1","1개","true","740278","47","522","0.09003831417624521","0.09088674607676309","47.44288145207033","0.9906649546040377","0.06838555983903873","0.11768090026877283","0.049295340429734096","10","156","0.07749465508966359","1.0468317995356284e-7","1.2277380399898834e-7","0.03518858274470879","0.1139683318417555","0.07877974909704671","1242","실험 추정; 미래 우월성 미확인"
"low_count","22 이하 번호 개수","2","2개","true","2045505","130","522","0.24904214559386972","0.25113442994895063","131.09217243335223","0.9916686678305869","0.21386724162131104","0.2878837222764615","0.07401648065515043","38","156","0.2473620867693471","1.209295928239467e-7","1.2277380399898834e-7","0.18292290613728768","0.3165811612665148","0.13365825512922713","1242","실험 추정; 미래 우월성 미확인"
